type;ID;contrib;Npages;title;filename;generated;citations;name_000;surname_000;name_001;surname_001;name_002;surname_002;name_003;surname_003;name_004;surname_004;name_005;surname_005;name_006;surname_006;name_007;surname_007;name_008;surname_008;name_009;surname_009;name_010;surname_010;name_011;surname_011
paper;2187;R;1;Tomography of the solar corona with Metis and LASCO-C2;2187.tex;LaTeX;;A.M.;Vasquez;F.A.;Nuevo;A.;Burtovoi;M.;Romoli;P.;Lamy;H.;Gilardy;F.;Frassati;R.A.;Frazin;A.;Bemporad;R.;Susino;N.;Sachdeva;W.B.;Manchester IV
paper;2175;R;1;Towards a Standardized Methodology for Cosmic Void Analysis;2175.tex;LaTeX;;F.;Bustillos;S.;Gualpa;J.B.;Cabral;A.N.;Ruiz;D.J.;Paz;;;;;;;;;;;;;;
paper;2232;R;1;Una oscilaci\'on cuasi-peri\'odica imaginaria al t\'ermino de la erupci\'on de MAXI~J1820+070;2232.tex;LaTeX;;C.A.;Bellavita;M.;M\'endez;F.;Garc\'ia;;;;;;;;;;;;;;;;;;
paper;2179;R;1;Unveiling the properties of first galaxies with JWST and ALMA;2179.tex;LaTeX;;M.E.;De Rossi;V.;Bromm;;;;;;;;;;;;;;;;;;;;
paper;2237;R;1;X-ray binary populations in local galaxies;2237.tex;LaTeX;;L.J.;Pellizza;M.B.;Badaracco;G.J.;Escobar;N.E.;Chisari;L.;Carvalho;S.E.;Pedrosa;L.A.;Bignone;;;;;;;;;;
paper;2162;R;1;Superaccreting microquasars as PeVatrons;2162.tex;LaTeX;;L.;Abaroa;G.E.;Romero;;;;;;;;;;;;;;;;;;;;
paper;2090;R;1;Tecnolog{\'\i}a y Patrimonio: El Proyecto ReTrOH en la Conservaci\'on de Espectros Astron\'omicos;2090.tex;LaTeX;;Y.;Aidelman;M.;Iannuzzi;C.;Di Gregorio;S.;Ponte Ah\'on;F.;Ronchetti;F.;Quiroga;R.;Peralta;M.;L\'opez;R.;Gamen;L.;Cidale;;;;
paper;2279;R;1;Probando escenarios de formaci\'on de $\lambda$ Bootis utilizando sistemas binarios;2279.tex;LaTeX;;J.;Alacoria;A.;Collado;C.;Saffe;M.;Flores;P.;Miquelarena;D.;Calvo;F.;Gunella;E.P.;Gonzalez;;;;;;;;
paper;2156;R;1;Determinaci\'on de par\'ametros fundamentales de estrellas Wolf-Rayet en sistemas binarios eclipsantes;2156.tex;LaTeX;;T.;Ans\'in;R.;Gamen;;;;;;;;;;;;;;;;;;;;
paper;2296;R;1;Follow up of the study of magnetar XTE J1810-197;2296.tex;LaTeX;;S.B.;Araujo Furlan;E.;Zubieta;G.;Gancio;G.E.;Romero;S.;del Palacio;F.;Garcia;C.O.;Lousto;J.A.;Combi%;;Colaboraci\'on PuMA;;;;;;
paper;2186;R;1;Rol de la transferencia de masa en progenitores de ondas gravitacionales;2186.tex;LaTeX;;J.;Astudillo;G.J.;Escobar;G.;Iorio;L.J.;Pellizza;;;;;;;;;;;;;;;;
paper;2102;R;1;Estudio detallado de la atm\'osfera de WASP-39 b utilizando el c\'odigo POSEIDON y datos del JWST;2102.tex;LaTeX;;M.A.J.;Baracchi;L.H.;Garc{\'\i}a;M.N.;G\'omez;;;;;;;;;;;;;;;;;;
paper;2157;R;1;Estudio de la estructura interna de los c\'umulos estelares del Puente de Magallanes;2157.tex;LaTeX;;G.;Baume;C.;Feinstein;M.J.;Rodriguez;M.;Fiorentino;B.;Dias;J.F.C. Santos Jr.;;F.S.M.;Maia;L.;Kerber;;;;;;;;
paper;2158;R;1;Poblaciones estelares y agrupaciones en las Nubes de Magallanes;2158.tex;LaTeX;;G.;Baume;C.;Parisi;C.;Feinstein;B.;De B\'ortoli;;;;;;;;;;;;;;;;
paper;2086;R;1;Kinematic patterns of the enriched gas phase in the Local Group {\sc Hestia} simulations;2086.tex;LaTeX;;L.;~Biaus;S.E.;~Nuza;C.;~Scannapieco;F.G.;~Iza;E.;~Lozano;;;;;;;;;;;;;;
paper;2098;R;1;A historical review of outreach activities at the Argentine Institute of Radio Astronomy (IAR);2098.tex;LaTeX;;C.E.;Boeris;D.;P\'erez;E.;Peluffo;H.;Command;M.F.;Fumagalli;L.;Cabral;;;;;;;;;;;;
paper;2177;R;1;An\'alisis multifrecuencia de la regi\'on Sh2-162;2177.tex;LaTeX;;A.;Boland;M.A.;Milicich;L.A.;Suad;S.;Cichowolski;;;;;;;;;;;;;;;;
paper;2213;R;1;Los colores del proceso de ensamble de las galaxias el{\'\i}pticas masivas: fotometr\'ia \'optica/IR de NGC 1395.;2213.tex;LaTeX;;A.;Boland;F.;Faifer;V.;Reynaldi;L.;Guti\'errez Soto;C.;Escudero;;;;;;;;;;;;;;
paper;2312;R;1;Elliptical Galaxies in the Fornax Cluster through S-PLUS Data;2312.tex;LaTeX;;D.;Brand\~ao;A.;Cortesi;R.;Haack;L.A.;Guti\'errez-Soto;F.;Ferrari;A.R.;Lopes;A.V.;Smith Castelli;P.;Lopes;D.;Brambila;;;;;;
paper;2268;R;1;Linking the chemical abundances of galaxies to their formation paths;2268.tex;LaTeX;;Y.D.;Burrafato;M.E.;De Rossi;;;;;;;;;;;;;;;;;;;;
paper;2216;R;1;Nuevos diagramas diagn\'osticos de edad y metalicidad;2216.tex;LaTeX;;R.;Butr\'on;A.E.;Piatti;;;;;;;;;;;;;;;;;;;;
paper;2096;R;1;Deriving a bias-corrected IMF for oriCC-1 from $\mathbf{0.05M_\odot}$ to $\mathbf{8M_\odot}$ using public data;2096.tex;LaTeX;;R.;Cabral-Fontes;J.J.;Downes;;;;;;;;;;;;;;;;;;;;
paper;2161;R;1;Determinaci\'on de miembros del c\'umulo abierto NGC 2910;2161.tex;LaTeX;;A.R.;Callen;I.;Bustos-Fierro;;;;;;;;;;;;;;;;;;;;
paper;2224;R;1;Brazos y barra de NGC 253;2224.tex;LaTeX;;J.A.;Camperi;H.;Dottori;M.P.;"Ag\""uero";G.;"G\""unthardt";R.J.;D{\'\i}az;;;;;;;;;;;;;;
paper;2255;R;1;Automatic image segmentation of galaxies and strong gravitational lenses with deep learning;2255.tex;LaTeX;;J.;Castagnino;L.A.;Bignone;J.P.;Fran\c{c}a;S.E.;Pedrosa;M.;Makler;L.J.;Pellizza;;;;;;;;;;;;
paper;2176;R;1;Multiquarks en estrellas de neutrones;2176.tex;LaTeX;;M.O.;Celi;;;;;;;;;;;;;;;;;;;;;;
paper;2293;R;1;{\textexclamdown}Ahora con m\'as l{\'\i}neas! Modelado del espectro IR de las estrellas Be MX\,Pup y $\pi$\,Aqr;2293.tex;LaTeX;;Y.R.;Cochetti;A.;Granada;M.L.;Arias;A.F.;Torres;;;;;;;;;;;;;;;;
paper;2125;R;1;Evoluci\'on de la alineaci\'on de galaxias centrales en la simulaci\'on hidrodin\'amica IllustrisTNG;2125.tex;LaTeX;;A.V.;Colazo;F.;Rodriguez;M.;Merch\'an;;;;;;;;;;;;;;;;;;
paper;2188;R;1;{\textquestiondown}Pueden sistemas con J\'upiters fr{\'\i}os en torno a estrellas de baja masa albergar s\'uper-Tierras?;2188.tex;LaTeX;;A.E.;Correa;M.B.;S\'anchez;;;;;;;;;;;;;;;;;;;;
paper;2076;R;1;Estudio comparativo de los m\'etodos de determinaci\'on de masas de estrellas enanas blancas pulsantes;2076.tex;LaTeX;;A.H.;C\'orsico;L.M.;Calcaferro;M.;Uzundag;L.G.;Althaus;S.O.;Kepler;K.;Werner;;;;;;;;;;;;
paper;2172;R;1;Wiener Filter para mapas de polarizaci\'on del Fondo C\'osmico de Radiaci\'on utilizando redes neuronales y estimaci\'on del espectro de potencias;2172.tex;LaTeX;;M.B.;Costanza;C.G.;Sc\'occola;M.;Zaldarriaga;;;;;;;;;;;;;;;;;;
paper;2284;R;1;Efecto Neupert An\'alisis discriminado seg\'un propiedades f\'isicas de la fulguraci\'on;2284.tex;LaTeX;;G.D.;Cristiani;C.H.;Mandrini;;;;;;;;;;;;;;;;;;;;
paper;2273;R;1;\LARGE Observations of the ULX sources ESO 501-023 and IC 5052 with XMM-Newton and NuSTAR;2273.tex;LaTeX;;N.;Cruz-Sanchez;E.A.;Saavedra;F.A.;Fogantini;F.;Garc{\'\i}a;J.A.;Combi;G.E.;Romero;L.;Abaroa;;;;;;;;;;
paper;2230;R;1;Teacher Training Program (TTP) desarrollado por NAEC Argentina;2230.tex;LaTeX;;M.S.;De Biasi;I.;Bustos Fierro;D.C.;Merlo;M.A.;Corti;S.;Paolantonio;N.E.;Camino;B.;Bravo;M.P.;Alvarez;;;;;;;;
paper;2309;R;1;Restringiendo la masa de part\'iculas en halos fermi\'onicos, mediante las masas de agujeros negros y de sistemas de c\'umulos globulares;2309.tex;LaTeX;;A.;Deluca;C.;"Arg\""uelles";J.P.;Caso;;;;;;;;;;;;;;;;;;
paper;2285;R;1;Sistema valorativo para la preparaci\'on de solicitudes de tiempo de telescopio del Observatorio Gemini;2285.tex;LaTeX;;C.G.;D\'iaz;R.;Petrucci;L.V.;Ferrero;E.;Jofr\'e;;;;;;;;;;;;;;;;
paper;2249;R;1;Redescubriendo observaciones hist\'oricas: construcci\'on de una base de datos en el proyecto ReTrOH;2249.tex;LaTeX;;C.;Di Gregorio;Y.;Aidelman;M.;Iannuzzi;R.;Peralta;M.;L\'opez;R.;Gamen;L.;Cidale;;;;;;;;;;
paper;2152;R;1;El microcu\'asar SS 433 como fuente de rayos c\'osmicos;2152.tex;LaTeX;;G.J.;Escobar;L.;Pellizza;L.;Carvalho;;;;;;;;;;;;;;;;;;
paper;2168;R;1;Rayos c\'osmicos gal\'acticos producidos en microcu\'asares;2168.tex;LaTeX;;G.J.;Escobar;L.;Carvalho;M.B.;Badaracco;;;;;;;;;;;;;;;;;;
paper;2210;R;1;Interacciones en el grupo de galaxias LGG\,138;2210.tex;LaTeX;;C.G.;Escudero;L.A.;Sesto;N.;Guevara;;;;;;;;;;;;;;;;;;
